sub,rt,set_size,identity,presence,orientation
9,0.6418,6,3,1,2
9,0.556,2,3,2,2
9,0.5455,4,3,2,2
9,0.568,6,3,2,2
10,0.4849,2,1,1,1
10,0.5148,4,1,1,1
10,0.4771,6,1,1,1
10,0.4606,2,1,2,1
10,0.4806,4,1,2,1
10,0.4767,6,1,2,1
10,0.4785,2,1,1,2
10,0.5059,4,1,1,2
10,0.4856,6,1,1,2
10,0.4953,2,1,2,2
10,0.4725,4,1,2,2
10,0.4683,6,1,2,2
10,0.4893,2,2,1,1
10,0.4659,4,2,1,1
10,0.4853,6,2,1,1
10,0.4651,2,2,2,1
10,0.475,4,2,2,1
10,0.4782,6,2,2,1
10,0.4996,2,2,1,2
10,0.5214,4,2,1,2
10,0.5125,6,2,1,2
10,0.4842,2,2,2,2
10,0.4753,4,2,2,2
10,0.5047,6,2,2,2
10,0.4905,2,3,1,1
10,0.5235,4,3,1,1
10,0.4745,6,3,1,1
10,0.4641,2,3,2,1
10,0.4765,4,3,2,1
10,0.4649,6,3,2,1
10,0.4874,2,3,1,2
10,0.5166,4,3,1,2
10,0.5273,6,3,1,2
10,0.4667,2,3,2,2
10,0.4964,4,3,2,2
10,0.4867,6,3,2,2
